"SQLServer","Version","Build","FileVersion","Description","Link","ReleaseDate","SP","CU","HF","RTM","CTP","New","Withdrawn"
"2022","16.0","16.0.100.4","2021.160.100.4","Microsoft SQL Server 2022 Community Technology Preview 1.0 (CTP?1.0)","","2021-12-07","","","","","TRUE","",""
"2019","15.0","15.0.4223.1","2019.150.4223.1","Cumulative update 16 (CU16) for SQL Server 2019","https://support.microsoft.com/en-us/help/5011644","2022-04-18","","TRUE","","","","TRUE",""
"2017","14.0","14.0.3436.1","2017.140.3436.1","Cumulative update 29 (CU29) for SQL Server 2017","https://support.microsoft.com/en-us/help/5010786","2022-03-30","","TRUE","","","","TRUE",""
"2016","13.0","13.0.6404.1","2015.131.6404.1","On-demand hotfix update package for SQL Server 2016 Service Pack 3 (SP3)","https://support.microsoft.com/en-us/help/5006943","2021-10-27","","","TRUE","","","",""
"2014","12.0","12.0.6433.1","2014.120.6433.1","Security update for SQL Server 2014 SP3 CU4: January 12, 2021","https://support.microsoft.com/en-us/help/4583462","2021-01-12","","","","","","",""
"2012","11.0","11.0.7507.2","2011.110.7507.2","Security update for SQL Server 2012 SP4 GDR: January 12, 2021","https://support.microsoft.com/en-us/help/4583465","2021-01-12","","","","","","",""
"2008 R2","10.50","10.50.6560.0","2009.100.6560.0","Description of the security update for SQL Server 2008 R2 SP3 GDR: January 6, 2018 ? Security Advisory ADV180002","https://support.microsoft.com/en-us/help/4057113","2018-01-06","","","","","","",""
"2008","10.0","10.0.6556.0","2007.100.6556.0","Description of the security update for SQL Server 2008 SP4 GDR: January 6, 2018 ? Security Advisory ADV180002","https://support.microsoft.com/en-us/help/4057114","2018-01-06","","","","","","",""
"2005","9.0","9.0.5324","2005.90.5324.0","MS12-070: Description of the security update for SQL Server 2005 Service Pack 4 QFE","https://support.microsoft.com/en-us/help/2716427","2012-10-09","","","","","","",""
"2000","8.0","8.0.1077","2000.80.1077.0","983814 MS12-070: Description of the security update for SQL Server 2000 Reporting Services Service Pack 2","https://support.microsoft.com/en-us/help/983814","2012-10-09","","","","","","",""
"7.0","7.0","7.0.1152","","MS08-040: Description of the security update for SQL Server 7.0: July 8, 2008","https://support.microsoft.com/en-us/help/948113","2012-05-09","","","","","","",""
"6.5","6.50","6.50.480","","FIX: Integrated Security Sprocs Have Race Condition Between Threads That Can Result in an Access Violation","https://support.microsoft.com/en-us/help/238621","2005-10-07","","","","","","",""
"6.0","6.0","6.0.121","","Microsoft SQL Server 6.0 RTM","","1995-06-13","","","","TRUE","","",""
